,file,Silence,Baby laughter,"Baby cry, infant cry"
530,v97_ns-23,0.19921875,0.0,0.0
531,v97_ns-24,0.1484375,0.0,0.0
532,v97_ns-25,0.1484375,0.0,0.0
533,v97_ns-26,0.1484375,0.0,0.0
534,v97_ns-27,0.1484375,0.0,0.0
535,v97_ns-28,0.1484375,0.0,0.0
536,v97_ns-29,0.1484375,0.0,0.0
537,v97_ns-3,0.1484375,0.0,0.0
538,v97_ns-30,0.1484375,0.0,0.0
539,v97_ns-31,0.19921875,0.0,0.0
540,v97_ns-32,0.1484375,0.0,0.0
541,v97_ns-33,0.1484375,0.0,0.0
542,v97_ns-34,0.1484375,0.0,0.0
543,v97_ns-35,0.1484375,0.0,0.0
544,v97_ns-4,0.1484375,0.0,0.0
545,v97_ns-5,0.1484375,0.0,0.0
546,v97_ns-6,0.1484375,0.0,0.0
547,v97_ns-7,0.1484375,0.0,0.0
548,v97_ns-8,0.1484375,0.0,0.0
549,v97_ns-9,0.1484375,0.0,0.0
